@RepLoisFrankel Nicolla from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/sPm1GjZcSb,362230301948256256
@RepJerryNadler @zandervision from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/15ubUod4YT,362230273678663680
@chuckschumer @roopsingh from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/VuBb9HGqZg,362224635028307968
@franklautenberg @brittveres from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/vD3JaTruHn,362222033934876674
@FrankPallone @yourboycl from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/ohIwEsaCI0,362221999239602177
@chuckschumer @wordsoflauren from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/JK3VwjUWvJ,362217662115360768
@chuckschumer @riddlingsaulie from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/v4w0d3Ifqb,362215296028790784
@GerryConnolly Chelsea from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/kVUKuAgMfj,362212854188879872
@chuckschumer D from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/HoU7ikNboA,362212821511061504
@repjoecrowley @sweetbitch  from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff,362602163203096577
@SenToomey Harris from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/oYjjlm70Sy,362209485672042496
@SenatorMenendez Meagan from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/Q96YtvPiT2,362204586020327424
@Jim_Moran Kayla from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/Nid9L7FZcM,362204553967439872
@SenGillibrand Joseph  from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/mKq7WXw4kP,362200430081634304
@SenatorMenendez @erbuckridge from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/QMap6LqRpQ,362200378974023680
@SenGillibrand @gregory_phillip from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/F9lUcZKPZn,362194316787068929
@SenatorMenendez Anne from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/57yDwReeFB,362194264790269953
@SenToomey Kevin from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/OpfBn6zuwE,362189585754771456
@SenBobCasey Sarah from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/ejuQfwQJdw,362189533216919552
@SenBobCasey Blair from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/mOGNGbbSqu,362186732894027776
@SenBobCasey Kristen from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/CzXfvoCVf3,362184735574859777
@SenatorMenendez @bridgetquinn25 from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/wG7f8u1UOG,362028125326024704
@RepChrisGibson Charlie from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/ImXNVPvVHB,362025534877745153
@RepJerryNadler @schneidette from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/dmI5e1jEMX,362023383891836929
@repmeehan Sarah from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/UCuPkf4FRl,362023326488608770
@Call_Me_Dutch @smyaldc from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/olVR0q3Od9,362018736208744448
@repdonnaedwards Rowan from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/DxWQ94k4Ud,362016490452557824
@SenatorMenendez @cnappi22 from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/cqBYyxA6HA,362008302659457024
@ChrisMurphyCT @twinklingtea from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/HGEuFx1vY0,362005731404300288
@PeterWelch Carla  from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/oG1S1jTL8T,361997902572310528
@SenToomey Macy from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/GdNaMfTsVY,361990458429288449
@RepJoePitts Becky from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/2xo1WJyRop,361990381950353410
@Call_Me_Dutch @smyaldc from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/OqLy5smVkR,361988146872868864
@SenatorMenendez @tashifbaby from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/zKhwsHIPdx,361986092783779841
@repgarrett @brittveres from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/BFWWaZln03,361985990690209792
@senatorbarb Julia from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/PFCwKBAwJv,361982887416967170
@ChrisMurphyCT @april_mea from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/SumvbXuTMi,361982844995768320
@SenGillibrand @nicolebarylski from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/2LWFiKM6GU,361982812313755648
@NitaLowey @laurenzallo from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/L49SOqrN4z,361980269433065473
@SenatorHagan @amberalliene from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/QtRK3hlWb9,361980225061539840
@SenGillibrand @kelleymarie987 from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/RQxs8lvI4q,361973120892030976
@senatorbarb @_katerpillar from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/mk8bPU70Vi,361971063413952512
@ElijahECummings @mikeysize from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/qrdDYKhyhR,361965249890484226
@RepJohnSarbanes Zoe from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/g50a16HnTu,361965199479164929
@RepChrisSmith Kristen from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/PyX8iPghLq,361962889826951168
@SenatorMenendez @megs0111 from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/IoxBs5MfUb,361960348099682305
@WhipHoyer Erica from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/G5stwkknnO,361957975637774336
@MarkWarner Bethany from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/B3B1NNZP2O,361955896932331520
@cbrangel Lindsay from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/OeGUkKeNpH,361955838694408193
@NydiaVelazquez @brookiecrisp from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/dQiRYGy7hh,361950256507781120
@SenatorMenendez Abby from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/n7dD9Q5bgl,361947965948035072
@robportman @kateterese from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/oTKxQieUn5,361945646032379904
@chakafattah Adam from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/qTu0nsrohr,361937611419439104
@RepJohnSarbanes Hayley from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/eWiupSwDDB,361935409690853376
@senatorbarb Hayley from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/ow3olPqt3N,361930656873316352
@chuckschumer @jacquifin from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/ct8u0S6ky0,361925866873294850
@ElijahECummings Kelly from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/3KeUxastPz,361922538156212224
@senatorbarb @capturethemoe_ from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/oGEd7bj2rs,361922463887654914
@senatorbarb Karen from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/UJUKjbhlZU,361920377221431296
@chuckschumer @valentinapapeo from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/rxqVNJMzbN,361918115417821184
@chuckschumer @orangejuicejen from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/IiHXDGA4w8,361915647690670080
@SenKaineOffice Jennifer from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/IBm7Eo8FfJ,361913688489340928
@repmichaelgrimm @gingersarz from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/GlDDThd9zN,361913656147062785
@SenToomey Jenn from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/cTyfLh0BUs,361910891219914752
@SenatorMenendez @l_doz from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/e3IINgsgRF,361907600687771648
@SenatorMenendez @brittveres from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/UFbJc8knAW,361905369120907266
@chuckschumer @misslesamac from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/wmjxbpgDEc,361903042901204992
@franklautenberg @garyegg from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/zS7WabI7Po,361889689029971969
@SenToomey Jenn from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/SlJYV88yUe,361882815043866624
@SenBobCasey Deb from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/DWQVZVnayw,361882714581905408
@SenatorMenendez Fran from your district asks you to sponsor Safe Schools S403/S1088 #MostNights #SoundOff http://t.co/ejS86Q0XSx,361880741522583552
@RepJohnSarbanes @moconnor from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/8dOnGbfoEg,361880691161563138
@RepMcCarthyNY @darcygrayy from your district asks you to sponsor Safe Schools HR1625/HR1199 #MostNights #SoundOff http://t.co/e6C5DwuaKt,361877977644015620
